Profile Name,Source,Navigation Level,Referrer Url,Webpage Url,Click Utc Ts
Mamãe,tvui,movieDetails,,,2021-06-05 20:35:57
Mamãe,tvui,playback,,,2021-06-05 20:35:57
Mamãe,tvui,browseTitles,,,2021-06-05 20:35:43
Mamãe,tvui,movieDetails,,,2021-06-05 20:35:43
Mamãe,tvui,profilesGate,,,2021-06-05 20:35:27
Mamãe,tvui,browseTitles,,,2021-06-05 20:35:27
Mamãe,tvui,errorDialog,,,2021-06-05 19:25:23
Mamãe,tvui,customerService,,,2021-06-05 19:25:23
Mamãe,tvui,playback,,,2021-06-05 19:25:18
Mamãe,tvui,errorDialog,,,2021-06-05 19:25:18
Mamãe,tvui,movieDetails,,,2021-06-05 19:25:13
Mamãe,tvui,playback,,,2021-06-05 19:25:13
Mamãe,tvui,errorDialog,,,2021-06-05 19:25:11
Mamãe,tvui,movieDetails,,,2021-06-05 19:25:11
Mamãe,tvui,playback,,,2021-06-05 19:25:09
Mamãe,tvui,errorDialog,,,2021-06-05 19:25:09
Mamãe,tvui,movieDetails,,,2021-06-05 19:25:05
Mamãe,tvui,playback,,,2021-06-05 19:25:05
Mamãe,tvui,errorDialog,,,2021-06-05 19:25:00
Mamãe,tvui,movieDetails,,,2021-06-05 19:25:00
Mamãe,tvui,playback,,,2021-06-05 19:24:51
Mamãe,tvui,errorDialog,,,2021-06-05 19:24:51
Mamãe,tvui,movieDetails,,,2021-06-05 19:24:44
Mamãe,tvui,playback,,,2021-06-05 19:24:44
Mamãe,tvui,browseTitles,,,2021-06-05 19:24:29
Mamãe,tvui,movieDetails,,,2021-06-05 19:24:29
Mamãe,tvui,profilesGate,,,2021-06-05 19:24:06
Mamãe,tvui,browseTitles,,,2021-06-05 19:24:06
Mamãe,tvui,playback,,,2021-06-05 17:49:41
Mamãe,tvui,errorDialog,,,2021-06-05 17:49:41
Mamãe,tvui,movieDetails,,,2021-06-05 17:49:35
Mamãe,tvui,playback,,,2021-06-05 17:49:35
Mamãe,tvui,browseTitles,,,2021-06-05 17:49:20
Mamãe,tvui,movieDetails,,,2021-06-05 17:49:20
Mamãe,tvui,profilesGate,,,2021-06-05 17:48:10
Mamãe,tvui,browseTitles,,,2021-06-05 17:48:10
Mamãe,tvui,playback,,,2021-06-05 17:31:26
Mamãe,tvui,errorDialog,,,2021-06-05 17:31:26
Mamãe,tvui,movieDetails,,,2021-06-05 17:31:20
Mamãe,tvui,playback,,,2021-06-05 17:31:20
Mamãe,tvui,browseTitles,,,2021-06-05 17:31:17
Mamãe,tvui,movieDetails,,,2021-06-05 17:31:17
Mamãe,tvui,profilesGate,,,2021-06-05 17:31:05
Mamãe,tvui,browseTitles,,,2021-06-05 17:31:05
Mamãe,tvui,planUpgradeGate,,,2021-06-05 17:27:50
Mamãe,tvui,movieDetails,,,2021-06-05 17:27:50
Mamãe,tvui,movieDetails,,,2021-06-05 17:27:13
Mamãe,tvui,playback,,,2021-06-05 17:27:13
Mamãe,tvui,planUpgradeGate,,,2021-06-05 17:27:13
Mamãe,tvui,playback,,,2021-06-05 17:27:13
Mamãe,tvui,movieDetails,,,2021-06-05 17:27:10
Mamãe,tvui,browseTitles,,,2021-06-05 17:27:10
Mamãe,tvui,profilesGate,,,2021-06-05 17:27:03
Mamãe,tvui,browseTitles,,,2021-06-05 17:27:03
Mamãe,tvui,playback,,,2021-06-05 17:18:54
Mamãe,tvui,errorDialog,,,2021-06-05 17:18:54
Mamãe,tvui,movieDetails,,,2021-06-05 17:18:48
Mamãe,tvui,playback,,,2021-06-05 17:18:48
Mamãe,tvui,errorDialog,,,2021-06-05 17:17:25
Mamãe,tvui,movieDetails,,,2021-06-05 17:17:25
Mamãe,tvui,playback,,,2021-06-05 17:17:24
Mamãe,tvui,errorDialog,,,2021-06-05 17:17:24
Mamãe,tvui,movieDetails,,,2021-06-05 17:17:19
Mamãe,tvui,playback,,,2021-06-05 17:17:19
Mamãe,tvui,errorDialog,,,2021-06-05 17:17:13
Mamãe,tvui,movieDetails,,,2021-06-05 17:17:13
Mamãe,tvui,playback,,,2021-06-05 17:17:02
Mamãe,tvui,errorDialog,,,2021-06-05 17:17:02
Mamãe,tvui,movieDetails,,,2021-06-05 17:16:55
Mamãe,tvui,playback,,,2021-06-05 17:16:55
Mamãe,tvui,browseTitles,,,2021-06-05 17:16:50
Mamãe,tvui,movieDetails,,,2021-06-05 17:16:50
Mamãe,tvui,profilesGate,,,2021-06-05 17:16:40
Mamãe,tvui,browseTitles,,,2021-06-05 17:16:40
Mamãe,tvui,postPlay,,,2021-06-05 02:24:18
Mamãe,tvui,movieDetails,,,2021-06-05 02:24:18
Mamãe,tvui,playback,,,2021-06-05 02:24:13
Mamãe,tvui,postPlay,,,2021-06-05 02:24:13
Mamãe,tvui,movieDetails,,,2021-06-05 01:45:09
Mamãe,tvui,playback,,,2021-06-05 01:45:09
Mamãe,tvui,playback,,,2021-06-05 01:45:09
Mamãe,tvui,playback,,,2021-06-05 01:45:09
Mamãe,tvui,browseTitles,,,2021-06-05 01:44:09
Mamãe,tvui,movieDetails,,,2021-06-05 01:44:09
Mamãe,tvui,profilesGate,,,2021-06-05 01:43:52
Mamãe,tvui,browseTitles,,,2021-06-05 01:43:52
Mamãe,tvui,profilesGate,,,2021-05-28 18:49:29
Mamãe,tvui,postPlay,,,2021-05-28 18:11:44
Mamãe,tvui,playback,,,2021-05-28 18:11:44
Mamãe,tvui,playback,,,2021-05-28 18:11:23
Mamãe,tvui,postPlay,,,2021-05-28 18:11:23
Mamãe,tvui,postPlay,,,2021-05-28 17:24:29
Mamãe,tvui,playback,,,2021-05-28 17:24:29
Mamãe,tvui,playback,,,2021-05-28 17:24:07
Mamãe,tvui,postPlay,,,2021-05-28 17:24:07
Mamãe,tvui,movieDetails,,,2021-05-28 17:00:48
Mamãe,tvui,playback,,,2021-05-28 17:00:48
Mamãe,tvui,browseTitles,,,2021-05-28 17:00:40
Mamãe,tvui,movieDetails,,,2021-05-28 17:00:40
Mamãe,tvui,profilesGate,,,2021-05-28 17:00:26
Mamãe,tvui,browseTitles,,,2021-05-28 17:00:26
Mamãe,tvui,profilesGate,,,2021-05-28 16:17:06
Mamãe,tvui,movieDetails,,,2021-05-28 16:17:06
Mamãe,tvui,playback,,,2021-05-28 15:47:05
Mamãe,tvui,movieDetails,,,2021-05-28 15:47:05
Mamãe,tvui,playback,,,2021-05-28 15:30:48
Mamãe,tvui,postPlay,,,2021-05-28 15:30:48
Mamãe,tvui,playback,,,2021-05-28 15:30:46
Mamãe,tvui,postPlay,,,2021-05-28 15:30:46
Mamãe,tvui,movieDetails,,,2021-05-28 15:07:01
Mamãe,tvui,playback,,,2021-05-28 15:07:01
Mamãe,tvui,movieDetails,,,2021-05-28 15:06:58
Mamãe,tvui,errorDialog,,,2021-05-28 15:06:58
Mamãe,tvui,playback,,,2021-05-28 15:06:54
Mamãe,tvui,errorDialog,,,2021-05-28 15:06:54
Mamãe,tvui,playback,,,2021-05-28 15:06:54
Mamãe,tvui,errorDialog,,,2021-05-28 15:06:54
Mamãe,tvui,playback,,,2021-05-28 15:05:58
Mamãe,tvui,movieDetails,,,2021-05-28 15:05:58
Mamãe,tvui,movieDetails,,,2021-05-28 15:05:54
Mamãe,tvui,errorDialog,,,2021-05-28 15:05:54
Mamãe,tvui,playback,,,2021-05-28 14:47:17
Mamãe,tvui,postPlay,,,2021-05-28 14:47:17
Mamãe,tvui,playback,,,2021-05-28 14:47:12
Mamãe,tvui,postPlay,,,2021-05-28 14:47:12
Mamãe,tvui,movieDetails,,,2021-05-28 14:06:02
Mamãe,tvui,playback,,,2021-05-28 14:06:02
Mamãe,tvui,movieDetails,,,2021-05-28 14:05:59
Mamãe,tvui,browseTitles,,,2021-05-28 14:05:59
Mamãe,tvui,browseTitles,,,2021-05-28 14:05:55
Mamãe,tvui,playback,,,2021-05-28 01:18:18
Mamãe,tvui,errorDialog,,,2021-05-28 01:18:18
Mamãe,tvui,movieDetails,,,2021-05-28 01:18:11
Mamãe,tvui,playback,,,2021-05-28 01:18:11
Mamãe,tvui,browseTitles,,,2021-05-28 01:18:05
Mamãe,tvui,movieDetails,,,2021-05-28 01:18:05
Mamãe,tvui,profilesGate,,,2021-05-28 01:17:46
Mamãe,tvui,browseTitles,,,2021-05-28 01:17:46
Mamãe,tvui,movieDetails,,,2021-05-24 22:24:00
Mamãe,tvui,playback,,,2021-05-24 22:24:00
Mamãe,tvui,browseTitles,,,2021-05-24 22:23:20
Mamãe,tvui,movieDetails,,,2021-05-24 22:23:20
Mamãe,tvui,profilesGate,,,2021-05-24 22:22:49
Mamãe,tvui,browseTitles,,,2021-05-24 22:22:49
Mamãe,tvui,postPlay,,,2021-05-24 18:34:31
Mamãe,tvui,playback,,,2021-05-24 18:34:31
Mamãe,tvui,playback,,,2021-05-24 18:34:09
Mamãe,tvui,postPlay,,,2021-05-24 18:34:09
Mamãe,tvui,postPlay,,,2021-05-24 17:58:51
Mamãe,tvui,playback,,,2021-05-24 17:58:51
Mamãe,tvui,playback,,,2021-05-24 17:58:30
Mamãe,tvui,postPlay,,,2021-05-24 17:58:30
Mamãe,tvui,movieDetails,,,2021-05-24 17:25:37
Mamãe,tvui,playback,,,2021-05-24 17:25:37
Mamãe,tvui,browseTitles,,,2021-05-24 17:25:21
Mamãe,tvui,movieDetails,,,2021-05-24 17:25:21
Mamãe,tvui,profilesGate,,,2021-05-24 17:21:06
Mamãe,tvui,browseTitles,,,2021-05-24 17:21:06
Mamãe,tvui,postPlay,,,2021-05-23 22:25:33
Mamãe,tvui,playback,,,2021-05-23 22:25:33
Mamãe,tvui,playback,,,2021-05-23 22:25:11
Mamãe,tvui,postPlay,,,2021-05-23 22:25:11
Mamãe,tvui,postPlay,,,2021-05-23 21:25:16
Mamãe,tvui,playback,,,2021-05-23 21:25:16
Mamãe,tvui,playback,,,2021-05-23 21:24:55
Mamãe,tvui,postPlay,,,2021-05-23 21:24:55
Mamãe,tvui,postPlay,,,2021-05-23 20:47:58
Mamãe,tvui,playback,,,2021-05-23 20:47:58
Mamãe,tvui,playback,,,2021-05-23 20:47:36
Mamãe,tvui,postPlay,,,2021-05-23 20:47:36
Mamãe,tvui,postPlay,,,2021-05-23 20:04:16
Mamãe,tvui,playback,,,2021-05-23 20:04:16
Mamãe,tvui,playback,,,2021-05-23 20:03:54
Mamãe,tvui,postPlay,,,2021-05-23 20:03:54
Mamãe,tvui,movieDetails,,,2021-05-23 19:27:15
Mamãe,tvui,playback,,,2021-05-23 19:27:15
Mamãe,tvui,browseTitles,,,2021-05-23 19:26:59
Mamãe,tvui,movieDetails,,,2021-05-23 19:26:59
Mamãe,tvui,profilesGate,,,2021-05-23 19:26:28
Mamãe,tvui,browseTitles,,,2021-05-23 19:26:28
Mamãe,tvui,postPlay,,,2021-05-21 19:21:54
Mamãe,tvui,playback,,,2021-05-21 19:21:54
Mamãe,tvui,playback,,,2021-05-21 19:21:32
Mamãe,tvui,postPlay,,,2021-05-21 19:21:32
Mamãe,tvui,postPlay,,,2021-05-21 18:44:13
Mamãe,tvui,playback,,,2021-05-21 18:44:13
Mamãe,tvui,playback,,,2021-05-21 18:43:51
Mamãe,tvui,postPlay,,,2021-05-21 18:43:51
Mamãe,tvui,movieDetails,,,2021-05-21 17:28:56
Mamãe,tvui,playback,,,2021-05-21 17:28:56
Mamãe,tvui,playback,,,2021-05-21 17:28:56
Mamãe,tvui,playback,,,2021-05-21 17:28:56
Mamãe,tvui,browseTitlesGallery,,,2021-05-21 17:28:24
Mamãe,tvui,movieDetails,,,2021-05-21 17:28:24
Mamãe,tvui,browseTitles,,,2021-05-21 17:28:08
Mamãe,tvui,browseTitlesGallery,,,2021-05-21 17:28:08
Mamãe,tvui,profilesGate,,,2021-05-21 17:27:16
Mamãe,tvui,browseTitles,,,2021-05-21 17:27:16
Mamãe,tvui,browseTitles,,,2021-04-18 18:01:33
Mamãe,tvui,search,,,2021-04-18 18:01:33
Mamãe,tvui,profilesGate,,,2021-04-18 18:01:17
Mamãe,tvui,browseTitles,,,2021-04-18 18:01:17
Mamãe,tvui,postPlay,,,2021-04-04 00:23:08
Mamãe,tvui,movieDetails,,,2021-04-04 00:23:08
Mamãe,tvui,playback,,,2021-04-04 00:22:48
Mamãe,tvui,postPlay,,,2021-04-04 00:22:48
Mamãe,tvui,postPlay,,,2021-04-03 23:37:32
Mamãe,tvui,playback,,,2021-04-03 23:37:32
Mamãe,tvui,playback,,,2021-04-03 23:37:10
Mamãe,tvui,postPlay,,,2021-04-03 23:37:10
Mamãe,tvui,postPlay,,,2021-04-03 23:11:45
Mamãe,tvui,playback,,,2021-04-03 23:11:45
Mamãe,tvui,playback,,,2021-04-03 23:11:23
Mamãe,tvui,postPlay,,,2021-04-03 23:11:23
Mamãe,tvui,movieDetails,,,2021-04-03 22:19:10
Mamãe,tvui,playback,,,2021-04-03 22:19:10
Mamãe,tvui,browseTitles,,,2021-04-03 22:18:15
Mamãe,tvui,movieDetails,,,2021-04-03 22:18:15
Mamãe,tvui,profilesGate,,,2021-04-03 22:17:35
Mamãe,tvui,browseTitles,,,2021-04-03 22:17:35
