Profile Name,Title Desc,Selection Type,Choice Segment Id,Has Watched,Source,Utc Timestamp
Xandin Careca,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Atravessar no tronco,false,tvui,2019-05-15 05:07:47
Xandin Careca,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Larva,false,tvui,2019-05-15 05:05:19
Xandin Careca,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Assustar,false,tvui,2019-05-15 05:02:13
Xandin Careca,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Seguir o rio,false,tvui,2019-05-15 05:00:11
Xandin Careca,"You vs. Wild: Season 1: ""Operation Jungle Rescue, Pt. 1""",countdown_interrupted,Gancho,false,tvui,2019-05-15 04:58:04
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Rap de Redstone,false,tvui,2020-01-21 17:40:42
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Nós vamos esmagar vocês.,false,tvui,2020-01-21 17:39:46
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Somos a Ordem do Porco.,false,tvui,2020-01-21 17:37:33
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Enderman,false,tvui,2020-01-21 17:34:52
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,O Gabriel é incrível.,false,tvui,2020-01-21 17:33:18
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Máscara legal.,false,tvui,2020-01-21 17:31:00
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Zumbis do tamanho de galinha,false,tvui,2020-01-21 17:29:27
Akish Caxumba,"Minecraft: Story Mode: Season 1: ""The Order of the Stone""",countdown_interrupted,Jesse (homem),false,tvui,2020-01-21 17:26:49
