Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Akish Caxumba,2021-05-14 01:41:15,00:33:36,Autoplayed: user action: User_Interaction; ,"Fuller House: Temporada 5: O último episódio, de novo (Episódio 18)",,Samsung 2017 Kant-M UHD TV Smart TV,00:33:49,00:33:49,BR (Brazil)
Akish Caxumba,2021-05-14 01:10:38,00:30:34,,Fuller House: Temporada 5: Algo emprestado (Episódio 17),,Samsung 2017 Kant-M UHD TV Smart TV,00:31:33,00:31:33,BR (Brazil)
Akish Caxumba,2021-05-14 00:43:20,00:27:12,,Fuller House: Temporada 5: Jogo para casais (Episódio 16),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:11,00:28:11,BR (Brazil)
Akish Caxumba,2021-05-14 00:15:23,00:27:55,,Fuller House: Temporada 5: Seja você mesma (Episódio 15),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:54,00:28:54,BR (Brazil)
Akish Caxumba,2021-05-13 23:52:25,00:22:55,,Fuller House: Temporada 5: Treinamento básico (Episódio 14),,Samsung 2017 Kant-M UHD TV Smart TV,00:23:54,00:23:54,BR (Brazil)
Akish Caxumba,2021-05-13 23:29:17,00:23:04,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 5: Visitando a faculdade (Episódio 13),,Samsung 2017 Kant-M UHD TV Smart TV,00:27:18,00:27:18,BR (Brazil)
Akish Caxumba,2021-05-13 23:07:00,00:04:07,,Fuller House: Temporada 5: Visitando a faculdade (Episódio 13),,Samsung 2017 Kant-M UHD TV Smart TV,00:04:15,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-13 22:40:49,00:26:08,,Fuller House: Temporada 5: Ação de Graças gelado (Episódio 12),,Samsung 2017 Kant-M UHD TV Smart TV,00:27:07,00:27:07,BR (Brazil)
Akish Caxumba,2021-05-13 22:15:14,00:25:28,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 5: Três casamentos e um musical (Episódio 11),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:19,00:26:19,BR (Brazil)
Akish Caxumba,2021-05-13 04:00:59,00:25:06,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 5: Um terno muito especial (Episódio 10),,AOC AOC 2016 MT5800 with no FRC Smart TV,00:25:34,00:25:34,BR (Brazil)
Akish Caxumba,2021-05-12 20:26:39,00:21:47,,Fuller House: Temporada 5: O pedido (Episódio 9),,Samsung 2017 Kant-M UHD TV Smart TV,00:22:40,00:22:40,BR (Brazil)
Akish Caxumba,2021-05-12 15:12:06,00:26:59,,Fuller House: Temporada 5: Cinco encontros com Kimmy Gibbler (Episódio 8),,Samsung 2017 Kant-M UHD TV Smart TV,00:27:58,00:27:58,BR (Brazil)
Akish Caxumba,2021-05-12 14:47:21,00:23:06,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 5: Amazing Race de Aniversário da DJ (Episódio 7),,Samsung 2017 Kant-M UHD TV Smart TV,00:24:05,00:24:05,BR (Brazil)
Akish Caxumba,2021-05-12 14:20:04,00:27:10,Autoplayed: user action: None; ,Fuller House: Temporada 5: O pássaro da prefeita (Episódio 6),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:09,00:28:09,BR (Brazil)
Akish Caxumba,2021-05-12 13:57:42,00:22:21,,Fuller House: Temporada 5: Jogador Fuller número 1 (Episódio 5),,Samsung 2017 Kant-M UHD TV Smart TV,00:23:20,00:23:20,BR (Brazil)
Akish Caxumba,2021-05-12 13:32:11,00:25:28,,Fuller House: Temporada 5: Noitada das mães (Episódio 4),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:27,00:26:27,BR (Brazil)
Akish Caxumba,2021-05-12 12:49:30,00:27:40,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 5: Negócio de família (Episódio 3),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:09,00:28:09,BR (Brazil)
Akish Caxumba,2021-05-12 12:46:34,00:01:23,Autoplayed: user action: None; ,Dumb and Dumber_hook_primary_16x9,HOOK,Samsung 2017 Kant-M UHD TV Smart TV,00:01:23,00:01:23,BR (Brazil)
Akish Caxumba,2021-05-12 04:13:23,00:19:52,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 5: Aula de culinária (Episódio 2),,AOC AOC 2016 MT5800 with no FRC Smart TV,00:27:09,00:27:09,BR (Brazil)
Akish Caxumba,2021-05-12 04:04:30,00:06:18,,Fuller House: Temporada 5: Aula de culinária (Episódio 2),,Samsung 2017 Kant-M UHD TV Smart TV,00:07:17,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-12 03:31:58,00:32:30,,"Fuller House: Temporada 5: Seja bem-vindo, bebê que ainda vai receber um nome (Episódio 1)",,Samsung 2017 Kant-M UHD TV Smart TV,00:33:29,00:33:29,BR (Brazil)
Akish Caxumba,2021-05-12 03:09:59,00:21:51,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 4: Vamos ao teatro (Episódio 13),,Samsung 2017 Kant-M UHD TV Smart TV,00:22:26,00:22:26,BR (Brazil)
Akish Caxumba,2021-05-12 02:45:51,00:24:06,,Fuller House: Temporada 4: Baile de formatura (Episódio 12),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:04,00:25:04,BR (Brazil)
Akish Caxumba,2021-05-12 02:20:24,00:25:22,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 4: Sempre aberta (Episódio 11),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:57,00:25:57,BR (Brazil)
Akish Caxumba,2021-05-12 01:54:32,00:25:50,,Fuller House: Temporada 4: Pé de Ouro (Episódio 10),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:48,00:26:48,BR (Brazil)
Akish Caxumba,2021-05-12 01:26:51,00:27:37,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 4: Filhos perfeitos (Episódio 9),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:07,00:28:07,BR (Brazil)
Akish Caxumba,2021-05-12 00:57:41,00:29:08,,Fuller House: Temporada 4: Conduzindo Sr. Jackson (Episódio 8),,Samsung 2017 Kant-M UHD TV Smart TV,00:30:06,00:30:06,BR (Brazil)
Akish Caxumba,2021-05-12 00:20:12,00:24:48,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 4: Representante Fuller (Episódio 7),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:46,00:25:46,BR (Brazil)
Akish Caxumba,2021-05-11 23:55:23,00:24:44,,Fuller House: Temporada 4: As Panteras (Episódio 6),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:35,00:25:35,BR (Brazil)
Akish Caxumba,2021-05-11 22:20:59,00:24:43,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 4: Juntos e preparados (Episódio 5),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:41,00:25:41,BR (Brazil)
Akish Caxumba,2021-05-11 21:56:16,00:24:41,,Fuller House: Temporada 4: Ignorada (Episódio 4),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:39,00:25:39,BR (Brazil)
Akish Caxumba,2021-05-11 21:26:08,00:24:57,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 4: Razão de ser (Episódio 3),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:55,00:25:55,BR (Brazil)
Akish Caxumba,2021-05-11 21:01:59,00:24:06,,Fuller House: Temporada 4: Uma noite especial (Episódio 2),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:04,00:25:04,BR (Brazil)
Akish Caxumba,2021-05-11 20:36:42,00:25:13,,Fuller House: Temporada 4: Onde está o espírito natalino? (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:09,00:26:09,BR (Brazil)
Akish Caxumba,2021-05-11 18:57:51,00:00:02,Autoplayed: user action: None; ,Fuller House: Temporada 4: Onde está o espírito natalino? (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:00:10,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-11 18:31:17,00:26:31,,Fuller House: Temporada 3: Lá vem o sol (Episódio 18),,Samsung 2017 Kant-M UHD TV Smart TV,00:27:44,00:27:44,BR (Brazil)
Akish Caxumba,2021-05-11 18:06:24,00:24:46,,Fuller House: Temporada 3: No meio da neblina (Episódio 17),,Samsung 2017 Kant-M UHD TV Smart TV,00:24:54,00:24:54,BR (Brazil)
Akish Caxumba,2021-05-11 17:43:31,00:22:51,,Fuller House: Temporada 3: Felizes para sempre (Episódio 16),,Samsung 2017 Kant-M UHD TV Smart TV,00:23:49,00:23:49,BR (Brazil)
Akish Caxumba,2021-05-11 17:19:02,00:24:26,,Fuller House: Temporada 3: Irmãs de alma (Episódio 15),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:24,00:25:24,BR (Brazil)
Akish Caxumba,2021-05-11 16:55:36,00:23:22,,Fuller House: Temporada 3: Cidade de aluguel (Episódio 14),,Samsung 2017 Kant-M UHD TV Smart TV,00:24:21,00:24:21,BR (Brazil)
Akish Caxumba,2021-05-11 16:52:24,00:00:01,Autoplayed: user action: None; ,Fuller House: Temporada 3: Cidade de aluguel (Episódio 14),,Samsung 2017 Kant-M UHD TV Smart TV,00:00:59,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-11 16:30:05,00:22:15,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 3: Olha quem não está falando (Episódio 13),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:02,00:26:02,BR (Brazil)
Akish Caxumba,2021-05-11 15:43:13,00:02:58,,Fuller House: Temporada 3: Olha quem não está falando (Episódio 13),,Samsung 2017 Kant-M UHD TV Smart TV,00:03:48,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-11 14:54:50,00:25:11,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 3: Novos tempos (Episódio 12),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:10,00:26:10,BR (Brazil)
Akish Caxumba,2021-05-11 14:51:00,00:02:31,,Volume 1 (Trailer): O Legado de Júpiter,TRAILER,Samsung 2017 Kant-M UHD TV Smart TV,00:02:31,00:02:31,BR (Brazil)
Akish Caxumba,2021-05-08 23:19:55,00:00:02,,Fuller House: Temporada 3: Novos tempos (Episódio 12),,Samsung 2017 Kant-M UHD TV Smart TV,00:01:00,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-08 22:50:11,00:24:09,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 3: Troller Coaster (Episódio 11),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:07,00:25:07,BR (Brazil)
Akish Caxumba,2021-05-08 22:16:08,00:33:59,,Fuller House: Temporada 3: O casamento japonês da minha melhor amiga (Episódio 10),,Samsung 2017 Kant-M UHD TV Smart TV,00:34:07,00:34:07,BR (Brazil)
Akish Caxumba,2021-05-08 21:51:03,00:24:59,,"Fuller House: Temporada 3: Casamento ou não, aí vamos nós (Episódio 9)",,Samsung 2017 Kant-M UHD TV Smart TV,00:25:45,00:25:45,BR (Brazil)
Akish Caxumba,2021-05-08 04:20:43,00:25:00,,"Fuller House: Temporada 3: Bebê, talvez (Episódio 8)",,AOC AOC 2016 MT5800 with no FRC Smart TV,00:25:59,00:25:59,BR (Brazil)
Akish Caxumba,2021-05-08 03:56:33,00:24:03,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 3: Vestido (Episódio 7),,AOC AOC 2016 MT5800 with no FRC Smart TV,00:24:56,00:24:56,BR (Brazil)
Akish Caxumba,2021-05-08 03:56:09,00:00:04,Autoplayed: user action: None; ,The Other Guys_hook_primary_16x9,HOOK,AOC AOC 2016 MT5800 with no FRC Smart TV,00:00:04,00:00:04,BR (Brazil)
Akish Caxumba,2021-05-07 23:36:22,00:22:32,,Fuller House: Temporada 3: Minha Ramona (Episódio 6),,Samsung 2017 Kant-M UHD TV Smart TV,00:23:30,00:23:30,BR (Brazil)
Akish Caxumba,2021-05-07 23:10:51,00:25:30,,Fuller House: Temporada 3: Tio Jesse cuidando das crianças (Episódio 5),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:28,00:26:28,BR (Brazil)
Akish Caxumba,2021-05-07 22:52:26,00:18:21,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 3: Chupão (Episódio 4),,Samsung 2017 Kant-M UHD TV Smart TV,00:24:25,00:24:25,BR (Brazil)
Akish Caxumba,2021-05-07 15:52:26,00:05:08,,Fuller House: Temporada 3: Chupão (Episódio 4),,Samsung 2017 Kant-M UHD TV Smart TV,00:06:06,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-07 15:27:59,00:24:25,,Fuller House: Temporada 3: Declarações de independência (Episódio 3),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:23,00:25:23,BR (Brazil)
Akish Caxumba,2021-05-07 15:04:05,00:23:52,,Fuller House: Temporada 3: Perna quebrada (Episódio 2),,Samsung 2017 Kant-M UHD TV Smart TV,00:24:50,00:24:50,BR (Brazil)
Akish Caxumba,2021-05-07 14:38:04,00:25:52,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 3: Melhor verão da história (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:18,00:26:18,BR (Brazil)
Akish Caxumba,2021-05-07 14:04:21,00:33:00,Autoplayed: user action: User_Interaction; ,"Fuller House: Temporada 2: Feliz Ano-Novo, Baby! (Episódio 13)",,Samsung 2017 Kant-M UHD TV Smart TV,00:32:39,00:32:39,BR (Brazil)
Akish Caxumba,2021-05-07 13:35:34,00:28:41,,Fuller House: Temporada 2: Quebra-nozes (Episódio 12),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:49,00:28:49,BR (Brazil)
Akish Caxumba,2021-05-07 13:06:42,00:28:18,,Fuller House: Temporada 2: Reunião de turma (Episódio 11),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:55,00:28:55,BR (Brazil)
Akish Caxumba,2021-05-07 04:04:59,00:02:10,,Fuller House: Temporada 2: Reunião de turma (Episódio 11),,AOC AOC 2016 MT5800 with no FRC Smart TV,00:03:08,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-07 03:37:27,00:27:27,,Fuller House: Temporada 2: New Kids em casa (Episódio 10),,AOC AOC 2016 MT5800 with no FRC Smart TV,00:28:25,00:28:25,BR (Brazil)
Akish Caxumba,2021-05-07 03:10:48,00:26:31,Autoplayed: user action: User_Interaction; ,"Fuller House: Temporada 2: Jovens, loucas e doughnuts (Episódio 9)",,AOC AOC 2016 MT5800 with no FRC Smart TV,00:27:26,00:27:26,BR (Brazil)
Akish Caxumba,2021-05-07 03:10:21,00:00:11,Autoplayed: user action: None; ,The Other Guys_hook_primary_16x9,HOOK,AOC AOC 2016 MT5800 with no FRC Smart TV,00:00:11,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-06 23:48:00,00:24:57,,Fuller House: Temporada 2: Uma teia cheia de nós (Episódio 8),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:55,00:25:55,BR (Brazil)
Akish Caxumba,2021-05-06 23:18:33,00:26:15,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 2: Papo de garota (Episódio 7),,Samsung 2017 Kant-M UHD TV Smart TV,00:27:13,00:27:13,BR (Brazil)
Akish Caxumba,2021-05-06 22:45:12,00:30:29,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 2: Ação de Graças dos Fullers (Episódio 6),,Samsung 2017 Kant-M UHD TV Smart TV,00:31:43,00:31:43,BR (Brazil)
Akish Caxumba,2021-05-06 22:19:34,00:25:27,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 2: Papai-cachorro (Episódio 5),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:10,00:25:10,BR (Brazil)
Akish Caxumba,2021-05-06 21:54:46,00:24:46,,Fuller House: Temporada 2: A maldição da Mansão Tanner (Episódio 4),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:44,00:25:44,BR (Brazil)
Akish Caxumba,2021-05-06 21:27:39,00:27:04,,Fuller House: Temporada 2: O não tão épico primeiro beijo (Episódio 3),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:02,00:28:02,BR (Brazil)
Akish Caxumba,2021-05-06 21:01:24,00:26:08,,Fuller House: Temporada 2: Coisa de mãe (Episódio 2),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:11,00:26:11,BR (Brazil)
Akish Caxumba,2021-05-06 20:32:06,00:29:04,,Fuller House: Temporada 2: Bem-vindos de volta! (Episódio 1),,Samsung 2017 Kant-M UHD TV Smart TV,00:29:36,00:29:36,BR (Brazil)
Akish Caxumba,2021-05-06 20:21:22,00:10:40,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 1: O amor está no ar (Episódio 13),,Samsung 2017 Kant-M UHD TV Smart TV,00:32:04,00:32:04,BR (Brazil)
Akish Caxumba,2021-05-06 20:19:15,00:02:00,,Trailer: A Família Mitchell e a Revolta das Máquinas,TRAILER,Samsung 2017 Kant-M UHD TV Smart TV,00:02:00,00:02:00,BR (Brazil)
Akish Caxumba,2021-05-05 03:05:00,00:20:29,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 1: O amor está no ar (Episódio 13),,AOC AOC 2016 MT5800 with no FRC Smart TV,00:21:24,Not latest view,BR (Brazil)
Akish Caxumba,2021-05-05 02:24:09,00:25:23,,Fuller House: Temporada 1: Reserve as datas (Episódio 12),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:21,00:26:21,BR (Brazil)
Akish Caxumba,2021-05-05 01:57:25,00:24:33,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 1: Parcerias (Episódio 11),,Samsung 2017 Kant-M UHD TV Smart TV,00:25:31,00:25:31,BR (Brazil)
Akish Caxumba,2021-05-05 01:28:14,00:28:49,Autoplayed: user action: User_Interaction; ,Fuller House: Temporada 1: Um grande salto (Episódio 10),,Samsung 2017 Kant-M UHD TV Smart TV,00:28:55,00:28:55,BR (Brazil)
Akish Caxumba,2021-05-05 01:02:18,00:25:54,,Fuller House: Temporada 1: O admirador secreto (Episódio 9),,Samsung 2017 Kant-M UHD TV Smart TV,00:26:52,00:26:52,BR (Brazil)
