Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Xandin Careca,SSTV-MSM1-0000000000000006129022,Samsung CE 2019 Muse-M UHD TV Smart TV,2020-05-10T22:17:22.627Z,2021-06-07T01:23:20.255Z,2020-05-10T22:22:27.093Z,2021-06-07T01:23:20.255Z,2020-05-10T22:17:22.627Z,2021-06-07T01:23:20.255Z,2020-05-10T22:22:27.093Z,2021-06-07T01:23:20.255Z,
Mamãe,SSTV-MSM1-0000000000000006129022,Samsung CE 2019 Muse-M UHD TV Smart TV,2020-05-10T22:17:22.627Z,2021-06-07T01:23:20.255Z,2020-05-10T22:22:27.093Z,2021-06-07T01:23:20.255Z,,,,,
Mamãe,NFCDCH-AP-GY711NYYGTTPD99DN96XCNA29K4XQL,Netflix Android Phone-Chrome Android Phone,,,,,,,,,
Allan bunda mole,NFCDFF-02-H5K66DDV2GY5EK01WXKNUH3V7MDJCV,Firefox PC (Cadmium),2021-03-22T22:23:45.693Z,2021-05-21T01:13:14.430Z,2021-03-22T22:23:45.693Z,2021-05-21T01:13:14.430Z,2021-03-22T22:23:45.693Z,2021-05-21T01:13:14.430Z,2021-03-22T22:23:45.693Z,2021-05-21T01:13:14.430Z,
Allan bunda mole,NFANDROID1-PRV-P-L3-ASUS=ASUS=Z012DC-4445-08D6F0FDBBA5EF1B0B4C48035F7B63C13D56ECD5EF1DA3CC999DF0CEEDD63E307,Android DefaultWidevineL3Phone Android Phone,2019-07-04T22:01:19.572Z,2020-08-09T20:45:59.859Z,2019-07-04T22:01:19.572Z,2020-08-09T20:45:59.859Z,2019-07-04T22:01:19.572Z,2020-08-09T20:45:59.859Z,2019-07-04T22:01:19.572Z,2020-08-09T20:45:59.859Z,
Allan bunda mole,SSTV-MSM1-0000000000000006129022,Samsung CE 2019 Muse-M UHD TV Smart TV,2020-05-10T22:17:22.627Z,2021-06-07T01:23:20.255Z,2020-05-10T22:22:27.093Z,2021-06-07T01:23:20.255Z,2020-08-08T21:13:41.396Z,2020-08-08T22:37:29.323Z,2020-08-08T21:18:50.530Z,2020-08-08T22:37:29.323Z,
Akish Caxumba,NFCDFF-02-GGAF6NEMCC9EVLLUNWC8TWM9L14940,Firefox PC (Cadmium),2020-06-25T23:55:45.984Z,2020-06-25T23:55:45.984Z,2020-06-25T23:55:45.984Z,2020-06-25T23:55:45.984Z,2020-06-25T23:55:45.984Z,2020-06-25T23:55:45.984Z,2020-06-25T23:55:45.984Z,2020-06-25T23:55:45.984Z,
Akish Caxumba,SSTV-MSM1-0000000000000006129022,Samsung CE 2019 Muse-M UHD TV Smart TV,2020-05-10T22:17:22.627Z,2021-06-07T01:23:20.255Z,2020-05-10T22:22:27.093Z,2021-06-07T01:23:20.255Z,2020-06-20T19:22:49.525Z,2020-06-21T12:09:57.721Z,2020-06-20T20:44:19.899Z,2020-06-21T11:36:53.175Z,
Allan bunda mole,NFUWA-001-2E8D0F0B91D346F0F1E9D8652B8E4359205E7AD5B28E910D9C0BD4684C2E0E640FD59D82AA4D1936A2D93F77C02C6374C29EC2EDC4EE53322BF776BAD3CCF0A3,Netflix Windows App - Cadmium Windows Mobile,2020-02-17T20:56:52.492Z,2020-02-17T20:58:13.493Z,2020-02-17T20:58:13.493Z,2020-02-17T20:58:13.493Z,2020-02-17T20:56:52.492Z,2020-02-17T20:58:13.493Z,2020-02-17T20:58:13.493Z,2020-02-17T20:58:13.493Z,
Akish Caxumba,NFANDROID1-PRV-P-L3-MOTORMOTO=G=7=-7283-010B1E4BB102C45C651736D874B7ADEE13DA1E91D6A767D25CACBFB420F52168E,Android DefaultWidevineL3Phone Android Phone,2020-01-04T19:06:38.936Z,2020-01-06T12:13:30.105Z,2020-01-04T19:06:38.936Z,2020-01-06T12:13:30.105Z,2020-01-04T19:06:38.936Z,2020-01-06T12:13:30.105Z,2020-01-04T19:06:38.936Z,2020-01-06T12:13:30.105Z,
Akish Caxumba,NFUWA-001-829429BF92D3D29155B43B0DF54A901B1C7B5ECF675CAD53740E853497C757909E78568ED9926623E4125F50B843EE773390C19E49D736D416359B938EB00D32,Netflix Windows App - Cadmium Windows Mobile,2019-08-21T17:02:16.710Z,2020-06-05T22:09:34.789Z,2019-08-21T17:02:16.710Z,2020-01-22T00:46:20.261Z,2019-12-10T21:45:25.203Z,2020-01-05T13:37:05.910Z,2019-12-10T21:45:25.203Z,2020-01-05T13:37:05.910Z,
