Esn,Country,Localized Device Description,Device Description,Ip,Region Code Display Name,Ts
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.93.151.111,São Paulo,2021-06-06T22:34:23.085Z
SSTV-MSM1-0000000000000006129022,BR,Samsung CE 2019 Muse-M UHD TV Smart TV,Samsung CE 2019 Muse-M UHD TV Smart TV,187.180.188.249,São Paulo,2021-06-06T21:13:20.118Z
SSTV-NVT1-0000000000000001568943,BR,Samsung Novatek DTV Smart TV,Samsung Novatek DTV Smart TV,179.233.158.21,Rio de Janeiro,2021-06-06T00:43:09.647Z
NFCDIE-03-HCQURT4VRLJTHEMN4AGYL72VPXN9RN,BR,Edge OSS - Windows (Cadmium),Edge OSS - Windows (Cadmium),2804:56c:c1b3:6f00:c482:c0f7:661d:a2,Rio de Janeiro,2021-06-05T21:24:01.507Z
SSTV-KTM1-0000000000000002329240,BR,Samsung 2017 Kant-M UHD TV Smart TV,Samsung 2017 Kant-M UHD TV Smart TV,179.233.158.21,Rio de Janeiro,2021-06-05T17:25:56.299Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.93.151.111,São Paulo,2021-05-30T20:17:21.897Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,201.43.198.214,São Paulo,2021-05-28T01:11:17.913Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,201.43.198.214,São Paulo,2021-05-22T13:01:28.231Z
NFCDFF-02-H5K66DDV2GY5EK01WXKNUH3V7MDJCV,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:14a9:9087:1d20:78c,Rio de Janeiro,2021-05-21T01:13:02.048Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,187.34.50.179,São Paulo,2021-05-15T21:26:18.789Z
AOTV16LMT1-10-08-18-01-0000000000000105550,BR,AOC AOC 2016 MT5800 with no FRC Smart TV,AOC AOC 2016 MT5800 with no FRC Smart TV,179.233.158.21,Rio de Janeiro,2021-05-13T04:00:41.973Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,187.56.42.243,São Paulo,2021-05-08T01:24:52.023Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.93.173.153,São Paulo,2021-04-09T00:07:01.073Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.100.121.89,São Paulo,2021-04-04T14:20:49.521Z
NFCDFF-02-H5K66DDV2GY5EK01WXKNUH3V7MDJCV,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:298b:66b8:f5c3:ca53,Rio de Janeiro,2021-04-02T00:28:43.967Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:31eb:7b3a:faf7:fb6d,Rio de Janeiro,2021-03-24T19:34:22.292Z
NFCDFF-02-H5K66DDV2GY5EK01WXKNUH3V7MDJCV,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:fdaf:4ca9:9a6b:6e52,Rio de Janeiro,2021-03-22T22:23:45.693Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:e0ff:679f:786e:826e,Rio de Janeiro,2021-03-21T13:45:49.963Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.100.121.89,São Paulo,2021-03-21T03:52:03.093Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:1c95:45c9:138f:6062,Rio de Janeiro,2021-03-16T20:24:03.639Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:b067:56cd:d433:c966,Rio de Janeiro,2021-03-14T18:49:04.188Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:f1ad:ed51:cdd1:cf25,Rio de Janeiro,2021-03-13T21:19:42.266Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.93.190.203,São Paulo,2021-03-10T15:53:22.651Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:9a6:fa4f:9ec:b97f,Rio de Janeiro,2021-03-05T23:25:17.018Z
SSTV-MSM1-0000000000000006129022,BR,Samsung CE 2019 Muse-M UHD TV Smart TV,Samsung CE 2019 Muse-M UHD TV Smart TV,187.180.188.249,São Paulo,2021-02-24T21:30:09.301Z
SSTV-MSM1-0000000000000006129022,BR,Samsung CE 2019 Muse-M UHD TV Smart TV,Samsung CE 2019 Muse-M UHD TV Smart TV,187.180.189.152,São Paulo,2021-02-15T16:49:26.579Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:176:d590:b3d8:9036,Rio de Janeiro,2021-02-15T00:23:03.102Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:c013:4f8a:4422:3e50,Rio de Janeiro,2021-02-13T19:34:01.904Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.93.190.203,São Paulo,2021-02-11T01:18:10.192Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,179.93.215.251,São Paulo,2021-02-10T03:02:48.392Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:3803:4977:a4d1:4681,Rio de Janeiro,2021-02-09T22:56:01.775Z
NFCDFF-02-GW9N2VERX5033V1C8ARR695P56XFMA,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:bc84:b662:5b9:c0f6,Rio de Janeiro,2021-01-31T23:18:48.514Z
SSTV-MSM1-0000000000000006129022,BR,Samsung CE 2019 Muse-M UHD TV Smart TV,Samsung CE 2019 Muse-M UHD TV Smart TV,187.180.189.152,São Paulo,2021-01-28T14:09:10.626Z
SSTV-MSM1-0000000000000006129022,BR,Samsung CE 2019 Muse-M UHD TV Smart TV,Samsung CE 2019 Muse-M UHD TV Smart TV,187.180.179.152,São Paulo,2021-01-27T22:16:04.369Z
NFCDFF-02-GJPKGTV3CKQ5ED57VH3F5JF1K1L5VX,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:cdeb:3db1:e340:c9cd,Rio de Janeiro,2021-01-19T16:45:10.519Z
NFCDFF-02-GJPKGTV3CKQ5ED57VH3F5JF1K1L5VX,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:c39:8fe3:262b:564b,Rio de Janeiro,2021-01-15T20:24:48.939Z
NFCDFF-02-H03YGMM8RCDYUWU1JV0HH9P3L26XKK,BR,Firefox PC (Cadmium),Firefox PC (Cadmium),2804:14d:1087:8ea5:c39:8fe3:262b:564b,Rio de Janeiro,2021-01-15T20:24:45.843Z
AOCOEM2K5100000000000000000000000000578326,BR,MStar PureTurnkey51 AOC OEM2K Smart TV,MStar PureTurnkey51 AOC OEM2K Smart TV,201.68.25.220,São Paulo,2021-01-13T23:41:13.877Z
