Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Mamãe,2021-06-05 21:23:09,NEW_DEVICE_LOGIN,EMAIL,BR,pt-BR,pt-BR,,GMAIL.COM,,,,0
Mamãe,2021-06-05 21:18:04,NEW_DEVICE_LOGIN,EMAIL,BR,pt-BR,pt-BR,,GMAIL.COM,,,,0
Mamãe,2021-06-05 16:32:29,INAPP_TOP_10,NOTIFICATIONS,BR,,,,GMAIL.COM,,,,0
Mamãe,2021-05-30 16:46:29,INAPP_NEW_ARRIVALS,NOTIFICATIONS,BR,,,Blue Miracle,GMAIL.COM,,,,0
Mamãe,2021-05-27 15:52:27,INAPP_THUMBS_LONG_PLAY,NOTIFICATIONS,BR,,,Who Killed Sara?,GMAIL.COM,,,firefox-cadmium,0
Mamãe,2021-05-25 15:45:08,INAPP_WATCH_IT_AGAIN,NOTIFICATIONS,BR,,,The Boy Who Harnessed the Wind,GMAIL.COM,,,,0
Mamãe,2021-05-24 16:08:17,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,BR,,,Who Killed Sara?,GMAIL.COM,,,,0
Mamãe,2021-05-23 15:29:11,INAPP_WHAT_TO_WATCH_SUGGESTIONS_HIGHLANDER,NOTIFICATIONS,BR,,,Behind Her Eyes,GMAIL.COM,,,firefox-cadmium,0
Mamãe,2021-05-20 16:59:26,INAPP_COMING_SOON,NOTIFICATIONS,BR,,,Lucifer,GMAIL.COM,,,,0
Mamãe,2021-05-19 16:31:27,INAPP_NEW_ARRIVALS,NOTIFICATIONS,BR,,,The Woman in the Window,GMAIL.COM,,,,0
Mamãe,2021-05-11 15:53:05,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,BR,,,Outlander,GMAIL.COM,,,,0
Mamãe,2021-05-09 16:24:13,INAPP_CONTINUE_WATCHING,NOTIFICATIONS,BR,,,Invisible City,GMAIL.COM,,,,0
Mamãe,2021-05-06 15:11:03,INAPP_TOP_10,NOTIFICATIONS,BR,,,,GMAIL.COM,,,,0
Mamãe,2021-05-02 16:32:11,INAPP_TOP_10,NOTIFICATIONS,BR,,,,GMAIL.COM,,,,0
Mamãe,2021-05-01 16:49:26,INAPP_CONTINUE_WATCHING,NOTIFICATIONS,BR,,,Brooklyn Nine-Nine,GMAIL.COM,,,,0
Mamãe,2021-04-18 16:36:30,INAPP_WATCH_IT_AGAIN,NOTIFICATIONS,BR,,,Outlander,GMAIL.COM,,,,0
Mamãe,2021-04-16 15:24:07,INAPP_COMING_SOON,NOTIFICATIONS,BR,,,Get the Grift,GMAIL.COM,,,,0
Mamãe,2021-04-12 15:43:17,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,BR,,,Shrek 2,GMAIL.COM,,,,0
Mamãe,2021-04-05 16:47:11,INAPP_COMING_SOON,NOTIFICATIONS,BR,,,Love and Monsters,GMAIL.COM,,,,0
Mamãe,2021-03-29 15:41:31,INAPP_NEW_ARRIVALS,NOTIFICATIONS,BR,,,Luccas Neto em: Acampamento de Férias 3,GMAIL.COM,,,,0
