Transaction Date,Service Period Start Date,Service Period End Date,Description,Payment Type,Mop Last 4,Mop Creation Date,Mop Pmt Processor Desc,Item Price Amt,Currency,Tax Amt,Gross Sale Amt,Pmt Txn Type,Pmt Status,Final Invoice Result,Country,Next Billing Date
2021-05-23,2021-05-23,2021-06-22,SUBSCRIPTION,ELO,1170,,CIELO,32.9,BRL,3.7,32.9,SALE,NEW,SETTLED,BR,2021-06-23
2021-05-23,,,payment_transaction,CC,1170,,,,BRL,,32.9,SALE,NEW,,BR,
2021-05-23,,,payment_transaction,CC,1170,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-05-23,2021-05-23,2021-06-22,SUBSCRIPTION,ELO,1170,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-06-23
2021-04-23,2021-04-23,2021-05-22,SUBSCRIPTION,ELO,1170,,CIELO,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-05-23
2021-04-23,,,payment_transaction,CC,1170,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-03-23,,,payment_transaction,CC,1170,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-03-23,2021-03-23,2021-04-22,SUBSCRIPTION,ELO,1170,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-04-23
2021-02-23,2021-02-23,2021-03-22,SUBSCRIPTION,ELO,1170,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-03-23
2021-02-23,,,payment_transaction,CC,1170,,,,BRL,,32.9,SALE,APPROVED,,BR,
2021-01-23,2021-01-23,2021-02-22,SUBSCRIPTION,ELO,1170,,ADYEN,32.9,BRL,3.7,32.9,SALE,APPROVED,SETTLED,BR,2021-02-23
2021-01-23,,,payment_transaction,CC,1170,,,,BRL,,32.9,SALE,APPROVED,,BR,
2020-12-23,,,payment_transaction,CC,2774,,,,BRL,,32.9,SALE,DECLINED,,BR,
2020-12-23,2020-12-23,2021-01-22,SUBSCRIPTION,ELO,1170,,ADYEN,32.9,BRL,3.7,32.9,CAPTURE,APPROVED,RECOVERY,BR,2021-01-23
2020-12-23,2020-12-23,2021-01-22,SUBSCRIPTION,ELO,2774,,CIELO,32.9,BRL,3.7,32.9,SALE,DECLINED,REVERSAL,BR,2021-01-23
2020-12-23,2020-12-23,2021-01-22,SUBSCRIPTION,ELO,1170,,ADYEN,32.9,BRL,3.7,32.9,CHARGE,APPROVED,RECOVERY,BR,2021-01-23
2020-12-23,,,payment_transaction,CC,1170,,,,BRL,,32.9,CHARGE,APPROVED,,BR,
